Freq(Hz), SPL(dB)
470.029449, 104.689
470.365906, 104.689
470.702362, 104.689
471.038818, 104.689
471.375275, 104.689
471.711731, 104.690
472.048187, 104.690
472.384644, 104.691
472.721100, 104.691
473.057556, 104.691
473.394012, 104.691
473.730469, 104.691
474.066925, 104.691
474.403381, 104.691
474.739838, 104.691
475.076294, 104.692
475.412750, 104.692
475.749207, 104.692
476.085663, 104.693
476.422119, 104.693
476.758575, 104.694
477.095032, 104.695
477.431488, 104.695
477.767944, 104.696
478.104401, 104.696
478.440857, 104.696
478.777313, 104.697
479.113770, 104.698
479.450226, 104.699
479.786682, 104.700
480.123138, 104.701
480.459595, 104.701
480.796051, 104.702
481.132507, 104.702
481.468964, 104.703
481.805420, 104.704
482.141876, 104.705
482.478333, 104.706
482.814789, 104.707
483.151245, 104.707
483.487701, 104.708
483.824158, 104.708
484.160614, 104.709
484.497070, 104.710
484.833527, 104.710
485.169983, 104.711
485.506439, 104.711
485.842896, 104.712
486.179352, 104.712
486.515808, 104.713
486.852264, 104.713
487.188721, 104.714
487.525177, 104.715
